            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
09-NOV-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-NOV-2006    37    0   2   1   0   1   0   0   2   0   0   0   0   0   9  12   0  10   0   0   0   0   0   0   0
07-NOV-2006    97    2   3  13   6  15   8  10  17   5   3   1  11   3   0   0   0   0   0   0   0   0   0   0   0
06-NOV-2006   285   12   8   2   5   4   6   4   0   1   2   2  22  27  32  21  27  30   9   9  18  14  16   8   6
05-NOV-2006   104    0   0   0   0   0   0   0   0   0   2   1   3  10   7   3   4   6   9   3   7  31   7   3   8
04-NOV-2006    63    0   0   0   0   0   0   0   0   0   0   0   0   0   2   3   7   7   6   5   9  12  10   2   0
03-NOV-2006    45    0   0   0   3   3   1   0   1   0   0   0   0   0   1   7   2   3  10   4   0   2   6   2   0
02-NOV-2006   151    0   0   2   6   2   5   2   1   9   5   5   6   1   5   8  11  12  13  10  25  12   6   3   2
01-NOV-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
31-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29-OCT-2006     2    0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
28-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
27-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
26-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
25-OCT-2006     1    0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
24-OCT-2006     6    0   0   0   0   0   0   0   4   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
23-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
22-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
21-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
20-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
19-OCT-2006    16    0   2   9   0   0   0   3   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
18-OCT-2006     5    0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   2   1   0
17-OCT-2006     1    0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-OCT-2006    24    8   9   0   0   0   0   2   0   0   0   0   1   0   4   0   0   0   0   0   0   0   0   0   0
15-OCT-2006    33    0   0   3   0   0   0   0   3   8   5   7   1   0   0   6   0   0   0   0   0   0   0   0   0
14-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
13-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
12-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
11-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
10-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
09-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-OCT-2006     5    0   0   0   0   0   0   0   0   0   0   0   1   0   4   0   0   0   0   0   0   0   0   0   0
07-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-OCT-2006     2    0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0   0   0
05-OCT-2006     1    0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
04-OCT-2006     1    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0
03-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
02-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
01-OCT-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
27-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
26-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
25-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
24-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
23-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
22-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
21-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
20-SEP-2006    15    0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   3   3   3   1   0   2   0   0   0
19-SEP-2006     3    0   0   0   1   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
18-SEP-2006    25    0   0   0   0   0   9  10   4   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0
17-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
15-SEP-2006     6    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   4   0
14-SEP-2006    13    0   0   0   0   0   0   0   0   0   0   0   5   0   2   0   0   0   0   6   0   0   0   0   0
13-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
12-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
11-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
10-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
09-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
07-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
05-SEP-2006     2    0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
04-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
03-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
02-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
01-SEP-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
31-AUG-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-AUG-2006    10    0   0   0   0   2   6   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
29-AUG-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-AUG-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
